Region;Federal District;Date;Cases;Deaths
Tula region;Central Federal District;30.04.2020;92;1
Tyumen region;Ural federal district;30.04.2020;15;
Udmurtia;Volga Federal District;30.04.2020;11;2
Ulyanovsk region;Volga Federal District;30.04.2020;27;
Khabarovsk region;Far Eastern Federal District;30.04.2020;38;
Khanty-Mansi Autonomous Okrug;Ural federal district;30.04.2020;21;1
Chelyabinsk region;Ural federal district;30.04.2020;67;
Chechen Republic;North Caucasus Federal District;30.04.2020;20;
Yamal-Nenets Autonomous Okrug;Ural federal district;30.04.2020;54;
Yaroslavskaya oblast;Central Federal District;30.04.2020;23;
Nenets Autonomous Okrug;Northwestern Federal District;30.04.2020;3;
Chukotka Autonomous Okrug;Far Eastern Federal District;30.04.2020;1;
Altai Republic;Siberian Federal District;30.04.2020;2;
Altai region;Siberian Federal District;01.05.2020;41;
Amur region;Far Eastern Federal District;01.05.2020;11;
Arhangelsk region;Northwestern Federal District;01.05.2020;15;
Astrakhan region;Southern Federal District;01.05.2020;19;
Belgorod region;Central Federal District;01.05.2020;28;1
Bryansk region;Central Federal District;01.05.2020;88;1
Vladimir region;Central Federal District;01.05.2020;46;2
Volgograd region;Southern Federal District;01.05.2020;42;
Vologda Region;Northwestern Federal District;01.05.2020;11;
Voronezh region;Central Federal District;01.05.2020;36;
Jewish Autonomous Region;Far Eastern Federal District;01.05.2020;7;
Zabaykalsky Krai;Far Eastern Federal District;01.05.2020;20;
Ivanovo region;Central Federal District;01.05.2020;44;
Irkutsk region;Siberian Federal District;01.05.2020;18;
Kabardino-Balkarian Republic;North Caucasus Federal District;01.05.2020;43;
Kaliningrad region;Northwestern Federal District;01.05.2020;37;2
Kaluga region;Central Federal District;01.05.2020;121;
Kamchatka Krai;Far Eastern Federal District;01.05.2020;16;
Karachay-Cherkess Republic;North Caucasus Federal District;01.05.2020;46;
Kemerovo region;Siberian Federal District;01.05.2020;2;
Kirov region;Volga Federal District;01.05.2020;18;
Kostroma region;Central Federal District;01.05.2020;16;
Krasnodar region;Southern Federal District;01.05.2020;66;
Krasnoyarsk region;Siberian Federal District;01.05.2020;48;1
Kurgan region;Ural federal district;01.05.2020;5;
Kursk region;Central Federal District;01.05.2020;66;
Leningrad region;Northwestern Federal District;01.05.2020;44;2
Lipetsk region;Central Federal District;01.05.2020;31;
Magadan Region;Far Eastern Federal District;01.05.2020;9;
Moscow;Central Federal District;01.05.2020;3561;47
Moscow region;Central Federal District;01.05.2020;797;16
Murmansk region;Northwestern Federal District;01.05.2020;86;
Nenets Autonomous Okrug;Northwestern Federal District;01.05.2020;1;
Nizhny Novgorod Region;Volga Federal District;01.05.2020;179;2
Novgorod region;Northwestern Federal District;01.05.2020;18;
Novosibirsk region;Siberian Federal District;01.05.2020;55;1
Omsk region;Siberian Federal District;01.05.2020;10;
Orenburg region;Volga Federal District;01.05.2020;49;
Oryol Region;Central Federal District;01.05.2020;37;
Penza region;Volga Federal District;01.05.2020;44;
Perm region;Volga Federal District;01.05.2020;24;
Primorsky Krai;Far Eastern Federal District;01.05.2020;27;1
Pskov region;Northwestern Federal District;01.05.2020;4;
Republic of Adygea;Southern Federal District;01.05.2020;2;
Altai Republic;Siberian Federal District;01.05.2020;1;
Republic of Bashkortostan;Volga Federal District;01.05.2020;77;
Republic of Buryatia;Far Eastern Federal District;01.05.2020;26;1
Republic of Dagestan;North Caucasus Federal District;01.05.2020;164;
Republic of Ingushetia;North Caucasus Federal District;01.05.2020;47;2
Republic of Kalmykia;Southern Federal District;01.05.2020;39;
Republic of Karelia;Northwestern Federal District;01.05.2020;8;
Komi Republic;Northwestern Federal District;01.05.2020;28;
Republic of Crimea;Southern Federal District;01.05.2020;3;
Mari El Republic;Volga Federal District;01.05.2020;31;1
The Republic of Mordovia;Volga Federal District;01.05.2020;30;
The Republic of Sakha (Yakutia);Far Eastern Federal District;01.05.2020;22;
Republic of North Ossetia - Alania;North Caucasus Federal District;01.05.2020;73;
Republic of Tatarstan;Volga Federal District;01.05.2020;71;
Tyva Republic;Siberian Federal District;01.05.2020;6;
The Republic of Khakassia;Siberian Federal District;01.05.2020;25;
Chuvash Republic;Volga Federal District;01.05.2020;41;
Rostov region;Southern Federal District;01.05.2020;83;3
Ryazan Oblast;Central Federal District;01.05.2020;43;2
Samara Region;Volga Federal District;01.05.2020;25;
St. Petersburg;Northwestern Federal District;01.05.2020;349;4
Saratov region;Volga Federal District;01.05.2020;49;
Sakhalin Oblast;Far Eastern Federal District;01.05.2020;1;
Sverdlovsk region;Ural federal district;01.05.2020;232;
Sevastopol;Southern Federal District;01.05.2020;7;
Smolensk region;Central Federal District;01.05.2020;26;
Stavropol region;North Caucasus Federal District;01.05.2020;89;
Tambov Region;Central Federal District;01.05.2020;63;
Tver region;Central Federal District;01.05.2020;29;
Tomsk region;Siberian Federal District;01.05.2020;8;1
Tula region;Central Federal District;01.05.2020;82;
Tyumen region;Ural federal district;01.05.2020;7;
Udmurtia;Volga Federal District;01.05.2020;9;
Ulyanovsk region;Volga Federal District;01.05.2020;23;
Khabarovsk region;Far Eastern Federal District;01.05.2020;30;
Khanty-Mansi Autonomous Okrug;Ural federal district;01.05.2020;18;
Chelyabinsk region;Ural federal district;01.05.2020;44;
Chechen Republic;North Caucasus Federal District;01.05.2020;19;
Chukotka Autonomous Okrug;Far Eastern Federal District;01.05.2020;2;
Yamal-Nenets Autonomous Okrug;Ural federal district;01.05.2020;51;
Yaroslavskaya oblast;Central Federal District;01.05.2020;64;1
Altai region;Siberian Federal District;02.05.2020;28;
Amur region;Far Eastern Federal District;02.05.2020;5;
Arhangelsk region;Northwestern Federal District;02.05.2020;25;
Astrakhan region;Southern Federal District;02.05.2020;27;
Belgorod region;Central Federal District;02.05.2020;36;
Bryansk region;Central Federal District;02.05.2020;73;
Vladimir region;Central Federal District;02.05.2020;60;
Volgograd region;Southern Federal District;02.05.2020;46;1
Vologda Region;Northwestern Federal District;02.05.2020;15;
Voronezh region;Central Federal District;02.05.2020;36;
Jewish Autonomous Region;Far Eastern Federal District;02.05.2020;3;
Zabaykalsky Krai;Far Eastern Federal District;02.05.2020;21;
Ivanovo region;Central Federal District;02.05.2020;31;
Irkutsk region;Siberian Federal District;02.05.2020;7;
Kabardino-Balkarian Republic;North Caucasus Federal District;02.05.2020;45;
Kaliningrad region;Northwestern Federal District;02.05.2020;43;1
Kaluga region;Central Federal District;02.05.2020;59;
Kamchatka Krai;Far Eastern Federal District;02.05.2020;5;
Karachay-Cherkess Republic;North Caucasus Federal District;02.05.2020;14;
Kemerovo region;Siberian Federal District;02.05.2020;14;
Kirov region;Volga Federal District;02.05.2020;32;
Kostroma region;Central Federal District;02.05.2020;14;
Krasnodar region;Southern Federal District;02.05.2020;79;
Krasnoyarsk region;Siberian Federal District;02.05.2020;50;
Kurgan region;Ural federal district;02.05.2020;4;
Kursk region;Central Federal District;02.05.2020;69;
Leningrad region;Northwestern Federal District;02.05.2020;46;
Lipetsk region;Central Federal District;02.05.2020;35;
Magadan Region;Far Eastern Federal District;02.05.2020;4;
Moscow;Central Federal District;02.05.2020;5358;37
Moscow region;Central Federal District;02.05.2020;807;
Murmansk region;Northwestern Federal District;02.05.2020;143;
Nenets Autonomous Okrug;Northwestern Federal District;02.05.2020;;
Nizhny Novgorod Region;Volga Federal District;02.05.2020;320;
Novgorod region;Northwestern Federal District;02.05.2020;25;
Novosibirsk region;Siberian Federal District;02.05.2020;43;2
Omsk region;Siberian Federal District;02.05.2020;9;
Orenburg region;Volga Federal District;02.05.2020;22;1
Oryol Region;Central Federal District;02.05.2020;32;1
Penza region;Volga Federal District;02.05.2020;33;
Perm region;Volga Federal District;02.05.2020;32;2
Primorsky Krai;Far Eastern Federal District;02.05.2020;25;
Pskov region;Northwestern Federal District;02.05.2020;24;
Republic of Adygea;Southern Federal District;02.05.2020;3;2
Altai Republic;Siberian Federal District;02.05.2020;2;
Republic of Bashkortostan;Volga Federal District;02.05.2020;92;
Republic of Buryatia;Far Eastern Federal District;02.05.2020;28;
Republic of Dagestan;North Caucasus Federal District;02.05.2020;109;
Republic of Ingushetia;North Caucasus Federal District;02.05.2020;45;1
Republic of Kalmykia;Southern Federal District;02.05.2020;23;1
Republic of Karelia;Northwestern Federal District;02.05.2020;7;
Komi Republic;Northwestern Federal District;02.05.2020;7;
Republic of Crimea;Southern Federal District;02.05.2020;8;
Mari El Republic;Volga Federal District;02.05.2020;31;
The Republic of Mordovia;Volga Federal District;02.05.2020;37;
The Republic of Sakha (Yakutia);Far Eastern Federal District;02.05.2020;34;
Republic of North Ossetia - Alania;North Caucasus Federal District;02.05.2020;85;
Republic of Tatarstan;Volga Federal District;02.05.2020;66;1
Tyva Republic;Siberian Federal District;02.05.2020;1;
The Republic of Khakassia;Siberian Federal District;02.05.2020;9;
Chuvash Republic;Volga Federal District;02.05.2020;49;
Rostov region;Southern Federal District;02.05.2020;80;
Ryazan Oblast;Central Federal District;02.05.2020;98;
Samara Region;Volga Federal District;02.05.2020;41;
St. Petersburg;Northwestern Federal District;02.05.2020;323;
Saratov region;Volga Federal District;02.05.2020;48;1
Sakhalin Oblast;Far Eastern Federal District;02.05.2020;;
Sverdlovsk region;Ural federal district;02.05.2020;81;
Sevastopol;Southern Federal District;02.05.2020;1;1
Smolensk region;Central Federal District;02.05.2020;44;
Stavropol region;North Caucasus Federal District;02.05.2020;25;
Tambov Region;Central Federal District;02.05.2020;54;
Tver region;Central Federal District;02.05.2020;46;
Tomsk region;Siberian Federal District;02.05.2020;5;
Tula region;Central Federal District;02.05.2020;88;
Tyumen region;Ural federal district;02.05.2020;16;
Udmurtia;Volga Federal District;02.05.2020;7;1
Ulyanovsk region;Volga Federal District;02.05.2020;32;
Khabarovsk region;Far Eastern Federal District;02.05.2020;29;2
Khanty-Mansi Autonomous Okrug;Ural federal district;02.05.2020;9;
Chelyabinsk region;Ural federal district;02.05.2020;30;1
Chechen Republic;North Caucasus Federal District;02.05.2020;21;1
Chukotka Autonomous Okrug;Far Eastern Federal District;02.05.2020;3;
Yamal-Nenets Autonomous Okrug;Ural federal district;02.05.2020;43;
Yaroslavskaya oblast;Central Federal District;02.05.2020;64;
Altai region;Siberian Federal District;03.05.2020;47;
Amur region;Far Eastern Federal District;03.05.2020;7;
Arhangelsk region;Northwestern Federal District;03.05.2020;22;
Astrakhan region;Southern Federal District;03.05.2020;76;
Belgorod region;Central Federal District;03.05.2020;35;
Bryansk region;Central Federal District;03.05.2020;86;
Vladimir region;Central Federal District;03.05.2020;55;
Volgograd region;Southern Federal District;03.05.2020;42;1
Vologda Region;Northwestern Federal District;03.05.2020;20;
Voronezh region;Central Federal District;03.05.2020;37;
Jewish Autonomous Region;Far Eastern Federal District;03.05.2020;9;
Zabaykalsky Krai;Far Eastern Federal District;03.05.2020;12;
Ivanovo region;Central Federal District;03.05.2020;22;1
Irkutsk region;Siberian Federal District;03.05.2020;20;
Kabardino-Balkarian Republic;North Caucasus Federal District;03.05.2020;90;
Kaliningrad region;Northwestern Federal District;03.05.2020;41;
Kaluga region;Central Federal District;03.05.2020;71;
Kamchatka Krai;Far Eastern Federal District;03.05.2020;25;
Karachay-Cherkess Republic;North Caucasus Federal District;03.05.2020;18;
Kemerovo region;Siberian Federal District;03.05.2020;11;
Kirov region;Volga Federal District;03.05.2020;42;
Kostroma region;Central Federal District;03.05.2020;12;
Krasnodar region;Southern Federal District;03.05.2020;82;
Krasnoyarsk region;Siberian Federal District;03.05.2020;17;2
Kurgan region;Ural federal district;03.05.2020;2;
Kursk region;Central Federal District;03.05.2020;67;
Leningrad region;Northwestern Federal District;03.05.2020;62;
Lipetsk region;Central Federal District;03.05.2020;39;
Magadan Region;Far Eastern Federal District;03.05.2020;2;
Moscow;Central Federal District;03.05.2020;5948;34
Moscow region;Central Federal District;03.05.2020;822;2
Murmansk region;Northwestern Federal District;03.05.2020;238;
Nizhny Novgorod Region;Volga Federal District;03.05.2020;252;2
Novgorod region;Northwestern Federal District;03.05.2020;26;
Novosibirsk region;Siberian Federal District;03.05.2020;51;
Omsk region;Siberian Federal District;03.05.2020;11;
Orenburg region;Volga Federal District;03.05.2020;28;
Oryol Region;Central Federal District;03.05.2020;68;1
Penza region;Volga Federal District;03.05.2020;31;
Perm region;Volga Federal District;03.05.2020;39;
Primorsky Krai;Far Eastern Federal District;03.05.2020;39;
Pskov region;Northwestern Federal District;03.05.2020;18;
Republic of Adygea;Southern Federal District;03.05.2020;10;1
Republic of Bashkortostan;Volga Federal District;03.05.2020;87;
Republic of Buryatia;Far Eastern Federal District;03.05.2020;30;
Republic of Dagestan;North Caucasus Federal District;03.05.2020;136;1
Republic of Ingushetia;North Caucasus Federal District;03.05.2020;51;2
Republic of Kalmykia;Southern Federal District;03.05.2020;29;1
Republic of Karelia;Northwestern Federal District;03.05.2020;4;
Komi Republic;Northwestern Federal District;03.05.2020;20;
Republic of Crimea;Southern Federal District;03.05.2020;4;
Mari El Republic;Volga Federal District;03.05.2020;40;1
The Republic of Mordovia;Volga Federal District;03.05.2020;43;
The Republic of Sakha (Yakutia);Far Eastern Federal District;03.05.2020;19;1
Republic of North Ossetia - Alania;North Caucasus Federal District;03.05.2020;69;
Republic of Tatarstan;Volga Federal District;03.05.2020;71;
Tyva Republic;Siberian Federal District;03.05.2020;3;
The Republic of Khakassia;Siberian Federal District;03.05.2020;6;
Chuvash Republic;Volga Federal District;03.05.2020;55;
Rostov region;Southern Federal District;03.05.2020;72;
Ryazan Oblast;Central Federal District;03.05.2020;55;
Samara Region;Volga Federal District;03.05.2020;85;
St. Petersburg;Northwestern Federal District;03.05.2020;295;1
Saratov region;Volga Federal District;03.05.2020;50;
Sakhalin Oblast;Far Eastern Federal District;03.05.2020;2;
Sverdlovsk region;Ural federal district;03.05.2020;75;
Sevastopol;Southern Federal District;03.05.2020;3;1
Smolensk region;Central Federal District;03.05.2020;9;
Stavropol region;North Caucasus Federal District;03.05.2020;55;1
Tambov Region;Central Federal District;03.05.2020;60;
Tver region;Central Federal District;03.05.2020;51;
Tomsk region;Siberian Federal District;03.05.2020;17;
Tula region;Central Federal District;03.05.2020;83;1
Tyumen region;Ural federal district;03.05.2020;37;
Udmurtia;Volga Federal District;03.05.2020;27;
Ulyanovsk region;Volga Federal District;03.05.2020;38;
Khabarovsk region;Far Eastern Federal District;03.05.2020;34;
Khanty-Mansi Autonomous Okrug;Ural federal district;03.05.2020;35;
Chelyabinsk region;Ural federal district;03.05.2020;63;
Chechen Republic;North Caucasus Federal District;03.05.2020;28;
Yamal-Nenets Autonomous Okrug;Ural federal district;03.05.2020;51;2
Yaroslavskaya oblast;Central Federal District;03.05.2020;76;
Nenets Autonomous Okrug;Northwestern Federal District;03.05.2020;11;
Chukotka Autonomous Okrug;Far Eastern Federal District;03.05.2020;1;
Altai Republic;Siberian Federal District;03.05.2020;1;
Altai region;Siberian Federal District;04.05.2020;36;
Amur region;Far Eastern Federal District;04.05.2020;5;
Arhangelsk region;Northwestern Federal District;04.05.2020;39;
Astrakhan region;Southern Federal District;04.05.2020;17;
Belgorod region;Central Federal District;04.05.2020;31;
Bryansk region;Central Federal District;04.05.2020;102;
Vladimir region;Central Federal District;04.05.2020;66;
Volgograd region;Southern Federal District;04.05.2020;42;
Vologda Region;Northwestern Federal District;04.05.2020;4;
Voronezh region;Central Federal District;04.05.2020;34;
Jewish Autonomous Region;Far Eastern Federal District;04.05.2020;2;
Zabaykalsky Krai;Far Eastern Federal District;04.05.2020;31;
Ivanovo region;Central Federal District;04.05.2020;29;2
Irkutsk region;Siberian Federal District;04.05.2020;27;
Kabardino-Balkarian Republic;North Caucasus Federal District;04.05.2020;105;
Kaliningrad region;Northwestern Federal District;04.05.2020;45;
Kaluga region;Central Federal District;04.05.2020;81;1
Kamchatka Krai;Far Eastern Federal District;04.05.2020;28;2
Karachay-Cherkess Republic;North Caucasus Federal District;04.05.2020;11;
Kemerovo region;Siberian Federal District;04.05.2020;13;
Kirov region;Volga Federal District;04.05.2020;33;
Kostroma region;Central Federal District;04.05.2020;13;1
Krasnodar region;Southern Federal District;04.05.2020;96;
Krasnoyarsk region;Siberian Federal District;04.05.2020;42;3
Kurgan region;Ural federal district;04.05.2020;1;
Kursk region;Central Federal District;04.05.2020;69;
Leningrad region;Northwestern Federal District;04.05.2020;59;1
Lipetsk region;Central Federal District;04.05.2020;43;
Magadan Region;Far Eastern Federal District;04.05.2020;;1
Moscow;Central Federal District;04.05.2020;5795;
Moscow region;Central Federal District;04.05.2020;803;
Murmansk region;Northwestern Federal District;04.05.2020;280;
Nenets Autonomous Okrug;Northwestern Federal District;04.05.2020;2;
Nizhny Novgorod Region;Volga Federal District;04.05.2020;157;
Novgorod region;Northwestern Federal District;04.05.2020;24;
Novosibirsk region;Siberian Federal District;04.05.2020;61;
Omsk region;Siberian Federal District;04.05.2020;34;2
Orenburg region;Volga Federal District;04.05.2020;81;
Oryol Region;Central Federal District;04.05.2020;19;
Penza region;Volga Federal District;04.05.2020;27;1
Perm region;Volga Federal District;04.05.2020;35;
Primorsky Krai;Far Eastern Federal District;04.05.2020;53;
Pskov region;Northwestern Federal District;04.05.2020;1;
Republic of Adygea;Southern Federal District;04.05.2020;7;2
Altai Republic;Siberian Federal District;04.05.2020;;
Republic of Bashkortostan;Volga Federal District;04.05.2020;80;
Republic of Buryatia;Far Eastern Federal District;04.05.2020;18;1
Republic of Dagestan;North Caucasus Federal District;04.05.2020;160;3
Republic of Ingushetia;North Caucasus Federal District;04.05.2020;53;
Republic of Kalmykia;Southern Federal District;04.05.2020;38;1
Republic of Karelia;Northwestern Federal District;04.05.2020;4;
Komi Republic;Northwestern Federal District;04.05.2020;6;1
Republic of Crimea;Southern Federal District;04.05.2020;1;
Mari El Republic;Volga Federal District;04.05.2020;49;
The Republic of Mordovia;Volga Federal District;04.05.2020;59;2
The Republic of Sakha (Yakutia);Far Eastern Federal District;04.05.2020;29;
Republic of North Ossetia - Alania;North Caucasus Federal District;04.05.2020;79;1
Republic of Tatarstan;Volga Federal District;04.05.2020;86;
Tyva Republic;Siberian Federal District;04.05.2020;4;2
The Republic of Khakassia;Siberian Federal District;04.05.2020;30;
Chuvash Republic;Volga Federal District;04.05.2020;64;
Rostov region;Southern Federal District;04.05.2020;85;5
Ryazan Oblast;Central Federal District;04.05.2020;61;
Samara Region;Volga Federal District;04.05.2020;60;
St. Petersburg;Northwestern Federal District;04.05.2020;317;
Saratov region;Volga Federal District;04.05.2020;74;
Sakhalin Oblast;Far Eastern Federal District;04.05.2020;2;
Sverdlovsk region;Ural federal district;04.05.2020;53;
Sevastopol;Southern Federal District;04.05.2020;2;
Smolensk region;Central Federal District;04.05.2020;12;
Stavropol region;North Caucasus Federal District;04.05.2020;57;
Tambov Region;Central Federal District;04.05.2020;53;1
Tver region;Central Federal District;04.05.2020;19;1
Tomsk region;Siberian Federal District;04.05.2020;9;1
Tula region;Central Federal District;04.05.2020;75;3
Tyumen region;Ural federal district;04.05.2020;66;
Udmurtia;Volga Federal District;04.05.2020;43;
Ulyanovsk region;Volga Federal District;04.05.2020;29;
Khabarovsk region;Far Eastern Federal District;04.05.2020;39;
Khanty-Mansi Autonomous Okrug;Ural federal district;04.05.2020;18;
Chelyabinsk region;Ural federal district;04.05.2020;51;3
Chechen Republic;North Caucasus Federal District;04.05.2020;30;
Chukotka Autonomous Okrug;Far Eastern Federal District;04.05.2020;;35
Yamal-Nenets Autonomous Okrug;Ural federal district;04.05.2020;104;
Yaroslavskaya oblast;Central Federal District;04.05.2020;79;
Altai region;Siberian Federal District;05.05.2020;21;52
Amur region;Far Eastern Federal District;05.05.2020;14;
Arhangelsk region;Northwestern Federal District;05.05.2020;6;16
Astrakhan region;Southern Federal District;05.05.2020;31;
Belgorod region;Central Federal District;05.05.2020;39;
Bryansk region;Central Federal District;05.05.2020;37;1
Vladimir region;Central Federal District;05.05.2020;48;
Volgograd region;Southern Federal District;05.05.2020;62;
Vologda Region;Northwestern Federal District;05.05.2020;7;
Voronezh region;Central Federal District;05.05.2020;31;
Jewish Autonomous Region;Far Eastern Federal District;05.05.2020;3;
Zabaykalsky Krai;Far Eastern Federal District;05.05.2020;17;
Ivanovo region;Central Federal District;05.05.2020;32;1
Irkutsk region;Siberian Federal District;05.05.2020;23;
Kabardino-Balkarian Republic;North Caucasus Federal District;05.05.2020;81;3
Kaliningrad region;Northwestern Federal District;05.05.2020;42;
Kaluga region;Central Federal District;05.05.2020;92;1
Kamchatka Krai;Far Eastern Federal District;05.05.2020;8;
Karachay-Cherkess Republic;North Caucasus Federal District;05.05.2020;12;
Kemerovo region;Siberian Federal District;05.05.2020;;1
Kirov region;Volga Federal District;05.05.2020;26;
Kostroma region;Central Federal District;05.05.2020;12;
Krasnodar region;Southern Federal District;05.05.2020;97;
Krasnoyarsk region;Siberian Federal District;05.05.2020;45;
Kurgan region;Ural federal district;05.05.2020;3;1
Kursk region;Central Federal District;05.05.2020;65;
Leningrad region;Northwestern Federal District;05.05.2020;53;
Lipetsk region;Central Federal District;05.05.2020;47;
Magadan Region;Far Eastern Federal District;05.05.2020;15;
Moscow;Central Federal District;05.05.2020;5714;
Moscow region;Central Federal District;05.05.2020;822;1
Murmansk region;Northwestern Federal District;05.05.2020;127;
Nenets Autonomous Okrug;Northwestern Federal District;05.05.2020;;2
Nizhny Novgorod Region;Volga Federal District;05.05.2020;174;
Novgorod region;Northwestern Federal District;05.05.2020;27;
Novosibirsk region;Siberian Federal District;05.05.2020;65;
Omsk region;Siberian Federal District;05.05.2020;30;
Orenburg region;Volga Federal District;05.05.2020;28;1
Oryol Region;Central Federal District;05.05.2020;75;
Penza region;Volga Federal District;05.05.2020;30;
Perm region;Volga Federal District;05.05.2020;18;
Primorsky Krai;Far Eastern Federal District;05.05.2020;88;1
Pskov region;Northwestern Federal District;05.05.2020;18;
Republic of Adygea;Southern Federal District;05.05.2020;5;2
Altai Republic;Siberian Federal District;05.05.2020;1;1
Republic of Bashkortostan;Volga Federal District;05.05.2020;34;
Republic of Buryatia;Far Eastern Federal District;05.05.2020;34;
Republic of Dagestan;North Caucasus Federal District;05.05.2020;128;2
Republic of Ingushetia;North Caucasus Federal District;05.05.2020;48;
Republic of Kalmykia;Southern Federal District;05.05.2020;1;1
Republic of Karelia;Northwestern Federal District;05.05.2020;2;2
Komi Republic;Northwestern Federal District;05.05.2020;16;
Republic of Crimea;Southern Federal District;05.05.2020;6;
Mari El Republic;Volga Federal District;05.05.2020;33;1
The Republic of Mordovia;Volga Federal District;05.05.2020;56;
The Republic of Sakha (Yakutia);Far Eastern Federal District;05.05.2020;20;
Republic of North Ossetia - Alania;North Caucasus Federal District;05.05.2020;91;
Republic of Tatarstan;Volga Federal District;05.05.2020;91;
Tyva Republic;Siberian Federal District;05.05.2020;4;
The Republic of Khakassia;Siberian Federal District;05.05.2020;16;
Chuvash Republic;Volga Federal District;05.05.2020;49;1
Rostov region;Southern Federal District;05.05.2020;90;
Ryazan Oblast;Central Federal District;05.05.2020;89;1
Samara Region;Volga Federal District;05.05.2020;17;
St. Petersburg;Northwestern Federal District;05.05.2020;226;
Saratov region;Volga Federal District;05.05.2020;78;
Sakhalin Oblast;Far Eastern Federal District;05.05.2020;1;1
Sverdlovsk region;Ural federal district;05.05.2020;133;
Sevastopol;Southern Federal District;05.05.2020;7;
Smolensk region;Central Federal District;05.05.2020;14;
Stavropol region;North Caucasus Federal District;05.05.2020;36;
Tambov Region;Central Federal District;05.05.2020;67;
Tver region;Central Federal District;05.05.2020;29;
Tomsk region;Siberian Federal District;05.05.2020;19;
Tula region;Central Federal District;05.05.2020;75;1
Tyumen region;Ural federal district;05.05.2020;28;
Udmurtia;Volga Federal District;05.05.2020;18;
Ulyanovsk region;Volga Federal District;05.05.2020;16;
Khabarovsk region;Far Eastern Federal District;05.05.2020;31;
Khanty-Mansi Autonomous Okrug;Ural federal district;05.05.2020;41;
Chelyabinsk region;Ural federal district;05.05.2020;86;
Chechen Republic;North Caucasus Federal District;05.05.2020;32;
Chukotka Autonomous Okrug;Far Eastern Federal District;05.05.2020;1;
Yamal-Nenets Autonomous Okrug;Ural federal district;05.05.2020;108;
Yaroslavskaya oblast;Central Federal District;05.05.2020;40;
Siberian Federal District;Siberian Federal District;06.05.2020;33;50
Far Eastern Federal District;Far Eastern Federal District;06.05.2020;8;14
Northwestern Federal District;Northwestern Federal District;06.05.2020;24;3
Southern Federal District;Southern Federal District;06.05.2020;29;
Central Federal District;Central Federal District;06.05.2020;16;1
Central Federal District;Central Federal District;06.05.2020;80;
Central Federal District;Central Federal District;06.05.2020;57;
Southern Federal District;Southern Federal District;06.05.2020;69;
Northwestern Federal District;Northwestern Federal District;06.05.2020;6;
Central Federal District;Central Federal District;06.05.2020;30;
Far Eastern Federal District;Far Eastern Federal District;06.05.2020;5;
Far Eastern Federal District;Far Eastern Federal District;06.05.2020;23;
Central Federal District;Central Federal District;06.05.2020;20;
Siberian Federal District;Siberian Federal District;06.05.2020;31;
North Caucasus Federal District;North Caucasus Federal District;06.05.2020;105;1
Northwestern Federal District;Northwestern Federal District;06.05.2020;17;
Central Federal District;Central Federal District;06.05.2020;98;
Far Eastern Federal District;Far Eastern Federal District;06.05.2020;1;
North Caucasus Federal District;North Caucasus Federal District;06.05.2020;4;2
Siberian Federal District;Siberian Federal District;06.05.2020;14;
Volga Federal District;Volga Federal District;06.05.2020;17;
Central Federal District;Central Federal District;06.05.2020;15;
Southern Federal District;Southern Federal District;06.05.2020;97;2
Siberian Federal District;Siberian Federal District;06.05.2020;42;
Ural federal district;Ural federal district;06.05.2020;1;
Central Federal District;Central Federal District;06.05.2020;67;
Northwestern Federal District;Northwestern Federal District;06.05.2020;51;
Central Federal District;Central Federal District;06.05.2020;46;1
Far Eastern Federal District;Far Eastern Federal District;06.05.2020;5;
Central Federal District;Central Federal District;06.05.2020;5858;6
Central Federal District;Central Federal District;06.05.2020;829;1
Northwestern Federal District;Northwestern Federal District;06.05.2020;136;
Northwestern Federal District;Northwestern Federal District;06.05.2020;;
Volga Federal District;Volga Federal District;06.05.2020;272;
Northwestern Federal District;Northwestern Federal District;06.05.2020;18;
Siberian Federal District;Siberian Federal District;06.05.2020;63;
Siberian Federal District;Siberian Federal District;06.05.2020;6;
Volga Federal District;Volga Federal District;06.05.2020;39;2
Central Federal District;Central Federal District;06.05.2020;57;
Volga Federal District;Volga Federal District;06.05.2020;32;
Volga Federal District;Volga Federal District;06.05.2020;25;
Far Eastern Federal District;Far Eastern Federal District;06.05.2020;49;
Northwestern Federal District;Northwestern Federal District;06.05.2020;12;
Southern Federal District;Southern Federal District;06.05.2020;12;
Siberian Federal District;Siberian Federal District;06.05.2020;1;
Volga Federal District;Volga Federal District;06.05.2020;24;
Far Eastern Federal District;Far Eastern Federal District;06.05.2020;43;
North Caucasus Federal District;North Caucasus Federal District;06.05.2020;181;
North Caucasus Federal District;North Caucasus Federal District;06.05.2020;52;
Southern Federal District;Southern Federal District;06.05.2020;29;
Northwestern Federal District;Northwestern Federal District;06.05.2020;12;
Northwestern Federal District;Northwestern Federal District;06.05.2020;28;
Southern Federal District;Southern Federal District;06.05.2020;17;
Volga Federal District;Volga Federal District;06.05.2020;33;
Volga Federal District;Volga Federal District;06.05.2020;54;
Far Eastern Federal District;Far Eastern Federal District;06.05.2020;17;
North Caucasus Federal District;North Caucasus Federal District;06.05.2020;93;1
Volga Federal District;Volga Federal District;06.05.2020;102;1
Siberian Federal District;Siberian Federal District;06.05.2020;;
Siberian Federal District;Siberian Federal District;06.05.2020;22;
Volga Federal District;Volga Federal District;06.05.2020;48;
Southern Federal District;Southern Federal District;06.05.2020;81;
Central Federal District;Central Federal District;06.05.2020;84;
Volga Federal District;Volga Federal District;06.05.2020;81;
